county,year,population,pct_pop_change,avg_commute_mins,pct_comm_change
Marshall,2015,31590,0.9684533512321458,NA,NA
Marshall,2014,31287,0.4720616570327518,NA,NA
Marshall,2013,31140,0.5456717574505277,NA,NA
Marshall,2012,30971,0.3987292531120401,NA,NA
Marshall,2011,30848,0.5246521328249765,NA,NA
Marshall,2010,30687,NA,NA,NA
Maury,2018,94273,2.2073571343387055,29.7,4.577464788732399
Maury,2017,92237,2.99365759971415,28.4,-5.0167224080267525
Maury,2016,89556,2.437517872462114,29.9,0.6734006734006703
Maury,2015,87425,2.3903775883069356,29.7,6.834532374100721
Maury,2014,85384,2.1119854576765684,27.8,-5.442176870748295
Maury,2013,83618,1.9060618617008362,29.4,-4.234527687296419
Maury,2012,82054,0.6451771170640663,30.7,-1.2861736334405238
